type	boundary	emissionsSector	economicSector	endUser	source	activity	emissions	energy	emissionsAbatement	natural	unit	bau2018	bau2019	bau2020	bau2021	bau2022	bau2023	bau2024	bau2025	bau2026	bau2027	bau2028	bau2029	znet2018	znet2019	znet2020	znet2021	znet2022	znet2023	znet2024	znet2025	znet2026	znet2027	znet2028	znet2029	bauEnergy2018	bauEnergy2019	bauEnergy2020	bauEnergy2021	bauEnergy2022	bauEnergy2023	bauEnergy2024	bauEnergy2025	bauEnergy2026	bauEnergy2027	bauEnergy2028	bauEnergy2029	znetEnergy2018	znetEnergy2019	znetEnergy2020	znetEnergy2021	znetEnergy2022	znetEnergy2023	znetEnergy2024	znetEnergy2025	znetEnergy2026	znetEnergy2027	znetEnergy2028	znetEnergy2029
emissions	Included	Stationary Energy	Residential	Local	Electricity	Household Space Heating	1896	5.9	0	1635	MWh	1896	1923	1950	1977	2007	2037	2067	2098	2130	2162	2194	2227	1896	1901	1815	1443	1062	960	954	966	980	994	1009	1024	1635	1657	1681	1704	1730	1756	1782	1809	1836	1863	1891	1920	6	7	7	7	6	7	7	8	9	10	11	12
emissions	Included	Stationary Energy	Residential	Local	Electricity	Household Hot Water	12350	38.3	0	10646	MWh	12350	12523	12698	12876	13069	13265	13464	13666	13871	14079	14290	14504	12350	11495	11008	10684	10463	10300	10179	10089	10021	9973	9939	9918	10646	10795	10946	11100	11266	11435	11607	11781	11958	12137	12319	12504	38	37	37	38	39	40	42	43	45	47	49	51
emissions	Included	Stationary Energy	Residential	Local	Electricity	Household Cooking	904	2.8	0	780	MWh	904	917	930	943	957	971	986	1001	1016	1031	1046	1062	904	917	930	943	957	971	986	1001	1016	1031	1046	1062	780	790	802	813	825	837	850	863	876	889	902	916	3	4	6	8	9	11	13	15	17	19	21	23
emissions	Included	Stationary Energy	Residential	Local	Electricity	Household Appliances	9993	31	0	8615	MWh	9993	10133	10275	10419	10575	10734	10895	11058	11224	11392	11563	11737	9993	9942	9887	9829	9777	9721	9662	9598	9530	9458	9382	9301	8615	8735	8858	8982	9116	9253	9392	9533	9676	9821	9968	10118	31	31	31	30	30	30	30	29	29	29	28	28
emissions	Included	Stationary Energy	Residential	Local	Electricity	Household Space Cooling	5144	16	0	4435	MWh	5144	5216	5289	5363	5444	5525	5608	5692	5778	5864	5952	6042	5144	5200	5192	4977	4760	4747	4803	4873	4946	5020	5095	5172	4435	4497	4560	4624	4693	4763	4835	4907	4981	5056	5131	5208	16	16	16	15	15	15	15	15	15	16	16	16
emissions	Included	Stationary Energy	Residential	Local	Electricity	Household Lighting	1903	5.9	0	1640	MWh	1903	1929	1956	1984	2014	2044	2074	2106	2137	2169	2202	2235	1903	1792	1730	1690	1664	1647	1634	1626	1621	1619	1619	1620	1640	1663	1687	1710	1736	1762	1788	1815	1842	1870	1898	1927	6	6	5	5	5	5	5	5	5	5	5	5
emissions	Included	Stationary Energy	Residential	Local	Electricity	Household Electric Vehicle Charging	0	0	0	0	MWh	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	5	13	25	34	40
emissions	Included	Stationary Energy	Residential	Local	Gas (mains)	Household Space Heating	2390	43.1	0	43	TJ	2390	2423	2457	2491	2529	2567	2605	2644	2684	2724	2765	2806	2390	2333	2245	2061	1874	1775	1706	1640	1573	1503	1431	1356	43	44	44	45	46	46	47	48	48	49	50	51	43	42	41	37	34	32	31	30	28	27	26	25
emissions	Included	Stationary Energy	Residential	Local	Gas (mains)	Household Hot Water	2516	45.4	0	45	TJ	2516	2551	2587	2623	2663	2703	2743	2784	2826	2868	2911	2955	2516	2464	2410	2354	2298	2240	2179	2117	2052	1984	1914	1842	45	46	47	47	48	49	49	50	51	52	53	53	45	45	44	43	42	40	39	38	37	36	35	33
emissions	Included	Stationary Energy	Residential	Local	Gas (mains)	Household Cooking	2095	37.8	0	38	TJ	2095	2124	2154	2184	2217	2250	2284	2318	2353	2388	2424	2460	2095	2051	2006	1960	1913	1865	1814	1762	1708	1652	1594	1533	38	38	39	39	40	41	41	42	42	43	44	44	38	37	36	35	35	34	33	32	31	30	29	28
