name	sector	area	type	levelisedCost	abatement	abatementUnit	abatementPct	levelisedCostEnergy	abatementEnergy	abatementUnitEnergy	abatementPctEnergy	levelisedCostElec	abatementElec	abatementUnitElec	abatementPctElec	description	dyLabel	dxLabel	baselineEmissions	targetEmissions	baselineEnergy	targetEnergy				
Residential Hot Water: Heat Pump	Residential	Home energy efficiency upgrades	Energy Efficiency	-18.6	3599	t CO2-e	1.20%	-6	10547	GJ	1.20%	-2.2	2930	MWh	2.40%	"<p>Domestic hot water systems that use heat pumps have can save energy over typical electric hot water storage units. The modelling of heat pumps aggregates two separate cases for households that either:
1) do not have solar PV: where a heat pump reduces energy use and where heating occurs at the controlled load tariff.
2) have solar PV: where a heat pump reduces energy use and where most heating occurs during the day where the solar PV provides the energy.</p>
<p>This option targets occupied households with electric storage but without a heat pump, or gas stroage for changeover (estimated to be 78% of all households based on survey data), with a natural replacement uptake rate over 10 years of 73% (i.e. households install heat pumps when their existing units need replacement). Note: Switching from gas to electric hot water is modeled in the 'Dual fuel to all-electric' home option.</p>
<p>Modeled energy savings for typical Hepburn households are 50% for heat pumps without solar, and 60% for heat pumps with solar: both vs new electric systems.</p>
<p>In both scenarios, the marginal cost of a new system is estimated to be $1000 with heat pump (i.e. vs the cost of a new electric storage system). Moreover, the cost to households of of a new heat pump unit is estimated at $3200 (i.e. $4000 for the unit with an assumed rebate (from STC's) of around $800; with the price of a new electric unit estimated to be $2000. Heat pump prices are also expected to decrease in the near future (i.e. next five years).</p>
<p>Energy cost savings are estimated to be around $117 per household each year, based on a typical time of use (ToU) tariff and usage of '5/7ths' at peak (weeknights) and '2/7ths' off-peak (weekend nights)</p>"	1		262041	296307	1935430	900000				
Residential Lighting	Residential	Home energy efficiency upgrades	Energy Efficiency	-158.9	1393	t CO2-e	0.50%	-51.2	4322	GJ	0.50%	-18.4	1201	MWh	1.00%	"<p>Replacing inefficient lighting fixtures (e.g. halogen and fluorescent type) with LED lighting reduces the amount of energy (and cost) of lighting.</p>
<p>This option targets households that have not already change over (estimated to be 50% of all occupied households), with a natural replacement uptake rate of 55%. Modeled energy savings for typical Hepburn households are on average 55% based on a combination of halogen and CFL lighting expected to be currently installed.</p>
<p>The modeled cost of a replacement includes the cost of lamp replacement and potentially light fittings and is estimated as $400 per household. Energy cost savings are estimated to be around $113 per household each year, based on a typical time of use (ToU) tariff and usage of '5/7ths' at peak (weeknights) and '2/7ths' off-peak (weekend nights).</p>"	1									
Residential Appliances	Residential	Home energy efficiency upgrades	Energy Efficiency	-115.5	3394	t CO2-e	1.10%	-33.7	11634	GJ	1.30%	-12.1	3232	MWh	2.70%	"<p>The option for households to upgrade to more efficient appliances has been modeled with two intervention types:
> Combined direct feedback (i.e. real time feedback to each household through the provision of a smart meter and in home display) and indirect feedback through effect of behavior change programs. The marginal cost assumed here can include purchase of smart meter/display, additional cost for higher efficiency appliance etc.; and 
> A natural turnover of major appliances over ten years of large appliances (TV and fridge). The natural turnover assumes no marginal cost, with the Minimum Energy Performance Standards (MEPS) largely responsible for efficiency gains. The decision to include uptake in this mdel- instead of it being part of the 'business as usual' modelling - is done to more explicitly capture the contribution of appliance efficiencies contribution to ZNET.</p>
<p>This option targets 70% of all occupied households for the 'combined feedback' intervention, and all homes for appliance effiency, with a natural replacement uptake rate of 92% over the 12 year ZNET timeframe. Modeled energy savings for combined feedback are 10%, in addition to 15% from inefficienct applicance turnover (note: the interaction effect of both interventions at once is not modelled for simplicity).</p>
<p></p>"	1									
Residential Heating And Cooling	Residential	Home energy efficiency upgrades	Energy Efficiency	5.6	703	t CO2-e	0.20%	8.8	2183	GJ	0.30%	1.6	606	MWh	0.50%	"<p>The efficient heating and cooling upgrade option targets homes able to replace existing (highly inefficient) electric space heaters with Reverse Cycle A/C units that benefits both heating and cooling costs. The model includes the impact of space conditioning alone (i.e. independent of thermal fabric upgrades), with the effect thermal fabric upgrades modeled separately as an 'additive' impact/saving (a simplifying assumption.</p>
<p>This option targets occupied household with electric space heating (estimated to be 22% of all household from Hepburn survey data), with an uptake rate of 80% of these households over the 10 year ZNET timeframe. Modeled energy savings for heating (and cooling) are 50%</p>
<p>The modeled cost of a typical Reverse Cycle A/C system is $1750 per household. Energy cost savings are estimated to be around $144 per household each year, based on a typical time of use (ToU) electrcity tariff and usage of 70% off peak (e.g. late night and weekend) and 30% peak times.</p>"	1									
Residential Thermal Fabric	Residential	Home energy efficiency upgrades	Energy Efficiency	-381.5	1157	t CO2-e	0.40%	-11.7	56547	GJ	6.50%	3.3	275	MWh	0.20%	"<p>Thermal fabric upgrades can reduce heating and cooling load and costs for households. The business case includes heating cost savings, in addition to electricity savings from homes with electric air conditioning (estimated to be 22% of these homes).</p>
<p>The business case includes heating cost savings, in addition to electricity savings from homes with electric air conditioning (40% of targeted homes). The breakdown of heating types in targeted those homes is Hepburn is modeled as: 58% wood, 3% bottled gas (LPG) and, 22% electricity and 5% with no heating (with all estimates from the ZNET Uralla Survey, 2018).</p>
<p>This option targets occupied households with inadequate roof insulation (estimated to be 70% of all occupied households), with a uptake rate of 50% of those households. Modeled energy savings for typical Hepburn households are on average 40% of heating energy/costs and 40% of cooling energy/cost.</p>
<p>The modeled upfront cost in install a thermal fabric upgrade (of R4 insulation in ceilings) is $1633 per household. Energy cost savings are estimated to be between $126 and $282 per household each year, based on a typical time of use (ToU) tariff and usage at 50% peak and 50% off peak usage (with the off-peak proportion accounting for relatively high night-time and weekend usage).</p>"	1									
Residential Solar Photovoltaic	Residential	Home energy efficiency upgrades	Renewable Generation	-61.2	10543	t CO2-e	3.60%	-22.9	28206	GJ	3.20%	-8.2	7835	MWh	6.50%	"<p>Rooftop solar PV enables households to generate their own electricity to meet their needs (while the sun is out); or to feed back (sell) excess generation back in to the grid as renewable energy for their retailer to on-sell. Because the economic case for solar is much greater where generated electricity is used 'behind-the-meter', only 'occupied' households are targeted (i.e. no 'weekenders' where solar generated would mostly be sent back to grid at a low feed-in tariff). Energy storage (i.e. battery) and Virtual Power Plant options which can improve the case for solar, are considered separately. </p>
<p>This option targets households currently without solar, but with adequate roof conditions to install solar PV panels (estimated to be 90% of occupied households). The modeled target penetration rate is for 50% of occupied homes to have solar PV installed (at average size of 5kW</p>
<p>The modeled cost for each installed PV unit is $7500 per household (for a 5kw system, or $1500 pew kW); including inverter costs. Energy cost savings are estimated to be around $1075 per household each year, based on households having (ToU) tariff (with off peak on weekends), and and average usage pattern where 75% of generated energy is fed back to the grid.</p>"	1									
Residential Battery Storage With Solar	Residential	Home energy efficiency upgrades	Renewable Generation	-52.8	4563	t CO2-e	1.50%	-19.7	12209	GJ	1.40%	-7.1	3391	MWh	2.80%	"<p>Battery storage is paired with solar PV to enable households to generate, store and then use their own electricity. By reducing the amount of solar exported, households get more value for the energy they generate because they are not obliged to accept low feed-in tariffs from retailers for excess generation (as they can now store it for later use). Because solar without battery is presented in a separate model with a particular penetration target, this ""solar + storage"" option focuses on the economic cost (per kWh of electricity), and potential for storage to increase the total penetration of solar (as storage is a way for households to achieve 'behind-the-meter' returns on their energy generation, albeit with the additional capital cost of a battery. This option only considers 'occupied' households (i.e. no 'weekenders' as their economic case is weak given their low usage). Virtual Power Plant options which can improve the economic case for batteries in constrained areas are considered separately. </p>
<p>This option targets households currently without solar, but with adequate roof conditions to install solar PV panels (estimated to be 90% of occupied households). The modeled target penetration rate is for 60% of occupied homes to have solar PV installed (at ave. size of 5kW, and with a 7kW / 13.5kWh battery)</p>
<p>The modeled cost for each battery unit is $10000 per household (for a 7kW capacity with 13.5kWh storage). However battery costs are expected to decrease rapidly. Energy cost savings are estimated to be around $1601 per household each year, based on householdss having (ToU) tariff (with off peak on weekends), and and average usage pattern where 0% of generated energy is fed back to the grid.</p>
<p>*Because the battery life is less than that of the solar PV panels, the benefits of the battery on energy cost savings are absent after its 15year lifespan. This is done by modeling the the same proportion of energy export as the solar only model (75% for the remaining years (i.e. the value defaults to 'solar only'.</p>"	1									
Residential Dual-Fuel To All Electric	Residential	Home energy efficiency upgrades	Fuel Switching	280.3	3752	t CO2-e	1.30%	32.1	32720	GJ	3.80%	Fuel switch	-9267	MWh	0.00%	"<p>This option targets homes using mains or bottled gas alongside electricity (i.e. 'dual-fuel' homes), to become 'all electric' homes which use electricity for heating, hot water and cooking. Electric appliances are generally more energy efficient (and continue to improve) and can be powered by renewable, zero emission electricity. The cost of GreenPower is assumed in this business case.</p>
<p>Around 75% of homes in Hepburn are mains or bottled gas-powered (from ZNET Survey, 2018) and are estimated to use around 47 GJ of gas per year on space heating (59%), hot water (36%) and cooking (5%). Althougn not all duel-fueled homes use gas for all of these functions, a uniform uptake of 100% of all types of gas appliances is assumed to simplified thes calculations (i.e. an aggreagated case is modeled, rather than specific cases for each configuration of home).</p>
<p>Capital costs of around $2000 are expected to convert an existing mains gas homes (i.e to remove gas connections), with the net cost/savings associated with avoided gas costs (estimated at $1127 per household) and additional cost of green electricity (estimated at $1342 per year). Costs of appliance changeover are not included as uptake is assumed to happen at end of major appliance life.</p>"	1									
Business Energy Efficiency	Business	Business actions	Energy Efficiency	-108.8	3199	t CO2-e	1.10%	-35.1	9927	GJ	1.10%	-12.6	2758	MWh	2.30%	"<p>Business energy efficiency opportunities are highly dependent on each businesses operations and the type of energy-using equipment. Individual building audits (and/or representative audits of Hepburn's businesses) recommended to improve the accuracy of assessing business energy efficiency opportunities.</p>
<p>This model generalises the potential and cost of business energy effiiciency opportunities at a 'typical commerical businesss', which are assumed to provide energy savings of 15% per annum with a simple payback of around 2 years (based on expert judgement and industry experience).</p>"	1									
Business Solar Pv	Business	Business actions	Renewable Generation	-72.1	3741	t CO2-e	1.30%	-26.9	10008	GJ	1.10%	-9.7	2780	MWh	2.30%	"<p>Rooftop solar PV enables businesses to generate their own electricity to meet their needs (while the sun is out). Modeled capacity has been estimated from a combination of observed 'large' businesses (i.e. sites with large roof capacity) and an assumption of small business uptake. The economic case for business solar assumes that all generated energy is used on site (i.e. that units are sized to be used behind-the-meter for best investment case to building owners). Energy storage (i.e. battery) and Virtual Power Plant options which can improve the case for solar for businesses, are considered separately. </p>
<p>This option obviously targets businesses without solar, but with adequate roof conditions to install solar PV panels. The proportion of businesses targeted are are by size, either: 1) Small business/roof size (80% uptake with 6kW systems), and 2) Large business/roof size (80% uptake with 25kW systems).</p>
<p>The modeled installed cost for each installed PV unit is $9000 per small business and $37500 for large businesses (including inverter costs).</p>
<p>Energy cost savings are estimated to be around $1400 per small business, and $5831 per year for larger businesses.</p>"	1									
