id	context-1	context-2	option-1	option-2	option-3	option-4	option-5	option-6	option-7	option-8	option-9	option-10	option-11	option-12	option-13	option-14	option-15	option-16
subTitle	The emissions context	The emissions context	Energy efficiency	Energy efficiency	Energy efficiency	Energy efficiency	Energy efficiency	Generating on-site	Energy storage	Generating nearby	Generating nearby	Generating nearby	Generating on-site	Generating nearby & storage	Energy sharing	Fuel switching	Importing or purchasing	Generating nearby
mainTitle	Energy use in Hepburn Shire	Electricity baseline for Hepburn Shire	Domestic Hot Water	Lighting	Appliances	Heating and Cooling	Building fabric upgrades	Solar Photovoltaic (PV) Panels	Battery Storage	Mid to Large-scale Solar PV	Wind turbines	Bioenergy	Micro Hydroelectric	Pumped-storage Hydroelectric	Community Microgrids & VPPs	Electric Vehicles	Renewable energy	Concentrated Solar Thermal
contribution-translation			0	0	0	0	-10	0	-10	0	0	-50	-20	-15	-15	0	-10	0
contribution-pctTranslation			680	660	660	680	685	686	-150	710	710	-150	-150	-50	-50	705	705	705
contribution-topline			up to	Up to	Up to	Up to	Up to	Up to	Improves the	More than	More than	Only limited by	Limited	Improves	Improves	Up to		More than
contribution-headline-large			18	7	7	15	50	40		100	100					100	100	100
contribution-headline-small-1									case for			biomass	by resource	case for	case for			
contribution-headline-small-2									local solar			availability and	and site	renewable	renewable			
contribution-headline-small-3									and wind			generator size	availabilty	technologies	technologies			
contribution-baseline-1			of electricity	of electricity	of electricity	of electricity	"of electricity,"	of electricity		of electricity	of electricity					of transport	of all energy	of electricity
contribution-baseline-2						gas and wood	gas and wood			demand	demand					emissions		demand
